Vanilla-YOLOv8n - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-22 00:41:56
Model: /home/migui/Downloads/100_yolov8n_300epochs_b32-20260318T004620Z-1-001/100_yolov8n_300epochs_b32/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9150
IDF1:               0.9275
ID Switches:        1406
Mostly Tracked (MT):(85.4%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                135.01
Runtime:            01:19:59
Class Switches:     6766

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2650
  MOTORCYCLE      387
  TRICYCLE        41
  VAN             507
  BUS             0
  TRUCK           1
  TOTAL           3586

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 61       12       0        9        0        0        82      
00:05:00-00:10:00 74       2        0        11       0        0        87      
00:10:00-00:15:00 70       1        0        13       0        0        84      
00:15:00-00:20:00 73       2        0        12       0        0        87      
00:20:00-00:25:00 70       1        0        10       0        0        81      
00:25:00-00:30:00 42       0        0        4        0        0        46      
00:30:00-00:35:00 32       1        0        7        0        0        40      
00:35:00-00:40:00 38       1        0        10       0        0        49      
00:40:00-00:45:00 34       1        0        7        0        1        43      
00:45:00-00:50:00 29       0        0        6        0        0        35      
00:50:00-00:55:00 24       1        0        1        0        0        26      
00:55:00-01:00:00 31       3        0        10       0        0        44      
01:00:00-01:05:00 42       6        0        9        0        0        57      
01:05:00-01:10:00 53       6        0        1        0        0        60      
01:10:00-01:15:00 41       12       0        3        0        0        56      
01:15:00-01:20:00 28       6        0        2        0        0        36      
01:20:00-01:25:00 11       7        1        2        0        0        21      
01:25:00-01:30:00 26       9        0        6        0        0        41      
01:30:00-01:35:00 22       6        0        0        0        0        28      
01:35:00-01:40:00 11       4        0        1        0        0        16      
01:40:00-01:45:00 20       12       1        5        0        0        38      
01:45:00-01:50:00 46       11       0        8        0        0        65      
01:50:00-01:55:00 9        11       0        1        0        0        21      
01:55:00-02:00:00 36       7        0        7        0        0        50      
02:00:00-02:05:00 12       11       0        1        0        0        24      
02:05:00-02:10:00 38       7        0        7        0        0        52      
02:10:00-02:15:00 8        4        0        6        0        0        18      
02:15:00-02:20:00 16       6        0        3        0        0        25      
02:20:00-02:25:00 18       3        1        3        0        0        25      
02:25:00-02:30:00 9        2        0        1        0        0        12      
02:30:00-02:35:00 11       1        0        4        0        0        16      
02:35:00-02:40:00 15       5        0        0        0        0        20      
02:40:00-02:45:00 15       2        0        0        0        0        17      
02:45:00-02:50:00 8        3        0        1        0        0        12      
