DCNv3-FPN - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 11:33:12
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9962
IDF1:               0.9981
ID Switches:        1120
Fragmentations:     3778
Mostly Tracked (MT):7294 (87.5%)
Mostly Lost (ML):   57 (0.7%)
Track IDs Assigned: 8333
Unique Vehicles:    5911
Duplicate Tracks:   2422
GFLOPs:             nan
FPS:                58.67
Runtime:            03:04:04
Class Switches:     6416

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2706
  MOTORCYCLE      397
  TRICYCLE        43
  VAN             490
  BUS             0
  TRUCK           0
  TOTAL           3636

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
08:15:00-08:20:00 26       1        0        4        0        0        31      
08:20:00-08:25:00 3        0        0        0        0        0        3       
08:25:00-08:30:00 16       1        0        3        0        0        20      
08:30:00-08:35:00 35       0        0        3        0        0        38      
08:35:00-08:40:00 21       3        0        4        0        0        28      
08:40:00-08:45:00 21       1        0        6        0        0        28      
08:45:00-08:50:00 26       0        0        4        0        0        30      
08:50:00-08:55:00 20       3        0        3        0        0        26      
08:55:00-09:00:00 25       6        0        5        0        0        36      
09:00:00-09:05:00 24       0        0        3        0        0        27      
09:05:00-09:10:00 20       0        0        5        0        0        25      
09:10:00-09:15:00 28       2        0        5        0        0        35      
09:15:00-09:20:00 32       6        1        7        0        0        46      
09:20:00-09:25:00 22       1        0        7        0        0        30      
09:25:00-09:30:00 13       1        0        2        0        0        16      
09:30:00-09:35:00 25       2        0        5        0        0        32      
09:35:00-09:40:00 12       3        0        6        0        0        21      
09:40:00-09:45:00 24       1        0        4        0        0        29      
09:45:00-09:50:00 21       1        0        9        0        0        31      
09:50:00-09:55:00 12       0        0        2        0        0        14      
09:55:00-10:00:00 28       4        0        10       0        0        42      
10:00:00-10:05:00 22       1        0        14       0        0        37      
10:05:00-10:10:00 15       5        0        3        0        0        23      
10:10:00-10:15:00 14       2        0        6        0        0        22      
10:15:00-10:20:00 16       1        0        1        0        0        18      
10:20:00-10:25:00 22       1        0        5        0        0        28      
10:25:00-10:30:00 21       2        0        5        0        0        28      
10:30:00-10:35:00 14       3        0        6        0        0        23      
10:35:00-10:40:00 13       3        0        3        0        0        19      
