DCNv2-Liu - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-18 23:59:03
Model: /home/migui/Downloads/dcnv2-yolov8-liu-20260318T004538Z-1-001/dcnv2-yolov8-liu/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9150
IDF1:               0.9075
ID Switches:        1619
Mostly Tracked (MT):(85.6%)
Mostly Lost (ML):   (0.7%)
GFLOPs:             nan
FPS:                114.78
Runtime:            01:34:05
Class Switches:     7724

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2724
  MOTORCYCLE      365
  TRICYCLE        60
  VAN             461
  BUS             0
  TRUCK           0
  TOTAL           3610

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 66       10       0        7        0        0        83      
00:05:00-00:10:00 72       1        1        11       0        0        85      
00:10:00-00:15:00 71       1        0        11       0        0        83      
00:15:00-00:20:00 75       1        0        14       0        0        90      
00:20:00-00:25:00 67       1        0        9        0        0        77      
00:25:00-00:30:00 44       0        0        4        0        0        48      
00:30:00-00:35:00 33       1        0        6        0        0        40      
00:35:00-00:40:00 39       1        0        8        0        0        48      
00:40:00-00:45:00 34       1        0        9        0        0        44      
00:45:00-00:50:00 31       0        0        5        0        0        36      
00:50:00-00:55:00 24       0        0        3        0        0        27      
00:55:00-01:00:00 30       2        1        11       0        0        44      
01:00:00-01:05:00 48       6        0        7        0        0        61      
01:05:00-01:10:00 54       6        0        4        0        0        64      
01:10:00-01:15:00 42       10       3        4        0        0        59      
01:15:00-01:20:00 33       4        1        0        0        0        38      
01:20:00-01:25:00 12       8        0        2        0        0        22      
01:25:00-01:30:00 27       9        0        7        0        0        43      
01:30:00-01:35:00 23       6        0        0        0        0        29      
01:35:00-01:40:00 11       5        0        1        0        0        17      
01:40:00-01:45:00 21       12       0        4        0        0        37      
01:45:00-01:50:00 47       11       0        5        0        0        63      
01:50:00-01:55:00 9        13       0        1        0        0        23      
01:55:00-02:00:00 38       6        1        4        0        0        49      
02:00:00-02:05:00 13       11       0        0        0        0        24      
02:05:00-02:10:00 41       7        0        4        0        0        52      
02:10:00-02:15:00 13       4        0        1        0        0        18      
02:15:00-02:20:00 15       6        1        3        0        0        25      
02:20:00-02:25:00 18       3        1        3        0        0        25      
02:25:00-02:30:00 9        2        0        0        0        0        11      
02:30:00-02:35:00 13       1        0        2        0        0        16      
02:35:00-02:40:00 15       6        0        0        0        0        21      
02:40:00-02:45:00 14       1        1        0        0        0        16      
02:45:00-02:50:00 7        3        1        1        0        0        12      
02:50:00-02:55:00 10       3        1        0        0        0        14      
02:55:00-03:00:00 20       3        0        1        0        0        24      
03:00:00-03:05:00 13       2        1        1        0        0        17      
03:05:00-03:10:00 6        1        0        1        0        0        8       
03:10:00-03:15:00 13       6        0        2        0        0        21      
03:15:00-03:20:00 15       3        1        2        0        0        21      
