DCNv3-Full - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 08:29:01
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9050
IDF1:               0.9075
ID Switches:        1436
Mostly Tracked (MT):(85.6%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                83.73
Runtime:            02:08:59
Class Switches:     7558

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2693
  MOTORCYCLE      396
  TRICYCLE        38
  VAN             456
  BUS             0
  TRUCK           0
  TOTAL           3583

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 65       10       0        7        0        0        82      
00:05:00-00:10:00 72       3        0        12       0        0        87      
00:10:00-00:15:00 71       2        0        11       0        0        84      
00:15:00-00:20:00 75       1        0        14       0        0        90      
00:20:00-00:25:00 70       2        0        7        0        0        79      
00:25:00-00:30:00 41       0        0        4        0        0        45      
00:30:00-00:35:00 29       1        0        6        0        0        36      
00:35:00-00:40:00 36       1        0        11       0        0        48      
00:40:00-00:45:00 32       1        0        9        0        0        42      
00:45:00-00:50:00 34       0        0        7        0        0        41      
00:50:00-00:55:00 21       1        0        2        0        0        24      
00:55:00-01:00:00 27       3        0        10       0        0        40      
01:00:00-01:05:00 46       5        0        7        0        0        58      
01:05:00-01:10:00 50       4        0        4        0        0        58      
01:10:00-01:15:00 40       12       1        3        0        0        56      
01:15:00-01:20:00 29       5        0        2        0        0        36      
01:20:00-01:25:00 12       7        0        2        0        0        21      
01:25:00-01:30:00 27       9        0        6        0        0        42      
01:30:00-01:35:00 22       6        0        0        0        0        28      
01:35:00-01:40:00 11       5        0        1        0        0        17      
01:40:00-01:45:00 21       13       0        4        0        0        38      
01:45:00-01:50:00 48       12       0        5        0        0        65      
01:50:00-01:55:00 9        12       0        1        0        0        22      
01:55:00-02:00:00 38       8        0        4        0        0        50      
02:00:00-02:05:00 13       11       0        0        0        0        24      
02:05:00-02:10:00 42       7        0        3        0        0        52      
02:10:00-02:15:00 13       4        0        1        0        0        18      
02:15:00-02:20:00 15       7        0        3        0        0        25      
02:20:00-02:25:00 18       3        1        3        0        0        25      
02:25:00-02:30:00 9        3        0        0        0        0        12      
02:30:00-02:35:00 13       1        0        1        0        0        15      
02:35:00-02:40:00 15       5        0        0        0        0        20      
02:40:00-02:45:00 14       2        0        0        0        0        16      
02:45:00-02:50:00 8        3        0        1        0        0        12      
02:50:00-02:55:00 10       4        0        0        0        0        14      
02:55:00-03:00:00 20       3        0        1        0        0        24      
03:00:00-03:05:00 12       4        0        1        0        0        17      
03:05:00-03:10:00 6        2        1        1        0        0        10      
03:10:00-03:15:00 13       4        1        2        0        0        20      
03:15:00-03:20:00 15       2        1        2        0        0        20      
03:20:00-03:25:00 10       7        1        1        0        0        19      
03:25:00-03:30:00 13       1        2        3        0        0        19      
03:30:00-03:35:00 7        3        4        0        0        0        14      
03:35:00-03:40:00 15       3        0        1        0        0        19      
03:40:00-03:45:00 4        3        1        1        0        0        9       
03:45:00-03:50:00 4        2        0        0        0        0        6       
03:50:00-03:55:00 10       3        1        2        0        0        16      
03:55:00-04:00:00 8        2        0        0        0        0        10      
04:00:00-04:05:00 6        2        0        0        0        0        8       
04:05:00-04:10:00 6        5        1        1        0        0        13      
04:10:00-04:15:00 5        6        0        1        0        0        12      
04:15:00-04:20:00 8        4        1        4        0        0        17      
04:20:00-04:25:00 5        0        0        4        0        0        9       
04:25:00-04:30:00 12       0        0        4        0        0        16      
04:30:00-04:35:00 6        4        1        8        0        0        19      
04:35:00-04:40:00 13       0        2        7        0        0        22      
04:40:00-04:45:00 25       3        1        5        0        0        34      
04:45:00-04:50:00 26       2        2        3        0        0        33      
04:50:00-04:55:00 26       0        2        5        0        0        33      
04:55:00-05:00:00 13       0        0        1        0        0        14      
05:00:00-05:05:00 28       3        1        4        0        0        36      
05:05:00-05:10:00 12       0        0        3        0        0        15      
05:10:00-05:15:00 5        0        0        2        0        0        7       
05:15:00-05:20:00 17       1        0        1        0        0        19      
05:20:00-05:25:00 13       1        0        2        0        0        16      
05:25:00-05:30:00 20       0        0        1        0        0        21      
05:30:00-05:35:00 11       0        0        0        0        0        11      
05:35:00-05:40:00 35       3        0        1        0        0        39      
05:40:00-05:45:00 17       4        0        2        0        0        23      
05:45:00-05:50:00 9        1        1        6        0        0        17      
05:50:00-05:55:00 17       5        1        1        0        0        24      
05:55:00-06:00:00 14       3        1        2        0        0        20      
06:00:00-06:05:00 14       3        1        0        0        0        18      
06:05:00-06:10:00 17       4        1        2        0        0        24      
06:10:00-06:15:00 9        4        3        0        0        0        16      
06:15:00-06:20:00 10       2        0        3        0        0        15      
06:20:00-06:25:00 17       2        0        4        0        0        23      
06:25:00-06:30:00 23       3        0        9        0        0        35      
06:30:00-06:35:00 4        1        0        1        0        0        6       
06:35:00-06:40:00 3        0        0        0        0        0        3       
06:40:00-06:45:00 0        0        0        1        0        0        1       
06:45:00-06:50:00 0        0        0        0        0        0        0       
06:50:00-06:55:00 0        0        0        0        0        0        0       
06:55:00-07:00:00 5        0        0        0        0        0        5       
07:00:00-07:05:00 1        0        0        1        0        0        2       
07:05:00-07:10:00 0        0        0        1        0        0        1       
07:10:00-07:15:00 12       0        0        3        0        0        15      
07:15:00-07:20:00 17       2        0        4        0        0        23      
07:20:00-07:25:00 16       2        0        3        0        0        21      
07:25:00-07:30:00 13       0        0        3        0        0        16      
07:30:00-07:35:00 19       0        0        1        0        0        20      
07:35:00-07:40:00 19       1        0        6        0        0        26      
07:40:00-07:45:00 5        0        0        2        0        0        7       
07:45:00-07:50:00 3        0        0        1        0        0        4       
07:50:00-07:55:00 18       0        0        10       0        0        28      
07:55:00-08:00:00 30       1        0        6        0        0        37      
08:00:00-08:05:00 36       0        1        6        0        0        43      
08:05:00-08:10:00 43       1        1        5        0        0        50      
08:10:00-08:15:00 15       1        0        3        0        0        19      
08:15:00-08:20:00 26       0        0        3        0        0        29      
08:20:00-08:25:00 3        0        0        0        0        0        3       
08:25:00-08:30:00 14       0        0        4        0        0        18      
08:30:00-08:35:00 32       0        0        3        0        0        35      
08:35:00-08:40:00 20       3        0        4        0        0        27      
08:40:00-08:45:00 21       1        0        6        0        0        28      
08:45:00-08:50:00 26       0        0        4        0        0        30      
08:50:00-08:55:00 20       3        0        3        0        0        26      
08:55:00-09:00:00 27       6        0        3        0        0        36      
09:00:00-09:05:00 23       0        0        4        0        0        27      
09:05:00-09:10:00 21       0        0        4        0        0        25      
09:10:00-09:15:00 30       2        0        3        0        0        35      
09:15:00-09:20:00 33       6        0        7        0        0        46      
09:20:00-09:25:00 23       1        0        5        0        0        29      
09:25:00-09:30:00 13       1        0        2        0        0        16      
09:30:00-09:35:00 26       2        0        4        0        0        32      
09:35:00-09:40:00 12       3        0        6        0        0        21      
09:40:00-09:45:00 24       1        0        4        0        0        29      
09:45:00-09:50:00 22       1        0        7        0        0        30      
09:50:00-09:55:00 12       0        0        2        0        0        14      
09:55:00-10:00:00 27       4        0        7        0        0        38      
10:00:00-10:05:00 23       1        0        12       0        0        36      
10:05:00-10:10:00 15       5        0        3        0        0        23      
10:10:00-10:15:00 14       2        0        5        0        0        21      
10:15:00-10:20:00 16       1        0        1        0        0        18      
10:20:00-10:25:00 22       1        0        5        0        0        28      
10:25:00-10:30:00 22       2        0        3        0        0        27      
10:30:00-10:35:00 14       2        1        5        0        0        22      
10:35:00-10:40:00 14       3        0        3        0        0        20      
10:40:00-10:45:00 14       2        0        5        0        0        21      
10:45:00-10:50:00 11       6        0        0        0        0        17      
10:50:00-10:55:00 13       6        0        0        0        0        19      
10:55:00-11:00:00 10       6        0        1        0        0        17      
11:00:00-11:05:00 7        4        0        4        0        0        15      
11:05:00-11:10:00 10       5        0        2        0        0        17      
11:10:00-11:15:00 13       3        0        2        0        0        18      
11:15:00-11:20:00 14       5        0        1        0        0        20      
11:20:00-11:25:00 17       7        0        4        0        0        28      
11:25:00-11:30:00 10       3        0        0        0        0        13      
11:30:00-11:35:00 11       5        0        0        0        0        16      
11:35:00-11:40:00 11       3        1        2        0        0        17      
11:40:00-11:45:00 10       1        0        1        0        0        12      
11:45:00-11:50:00 8        1        0        1        0        0        10      
11:50:00-11:55:00 7        4        1        0        0        0        12      
11:55:00-12:00:00 6        0        0        2        0        0        8       

SWITCH STATISTICS (over 11:59:59 period)
------------------------------------------------------------
ID Switches Total:                      1436
ID Switches / Hour:                     119.67
Counted Vehs with ID Switch:            1394/3583 (38.91%)
Tracks with Class Switch:               1926/8819 (21.84%)
Counted Vehs with Class Switch:         1286/3583 (35.89%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     7558
On Counted Vehicles:                    6104
Avg per Affected Counted Veh:           4.75
