DCNv2-Pan - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 04:27:15
Model: /home/migui/Downloads/dcnv2-yolov8-neck-pan-20260318T004653Z-1-001/dcnv2-yolov8-neck-pan/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9061
IDF1:               0.9180
ID Switches:        1427
Mostly Tracked (MT):(90.0%)
Mostly Lost (ML):   (0.3%)
GFLOPs:             nan
FPS:                106.02
Runtime:            01:28:23
Class Switches:     11921

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4730
  MOTORCYCLE      347
  TRICYCLE        189
  VAN             532
  BUS             2
  TRUCK           9
  TOTAL           5809

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 59       5        0        10       0        0        74      
00:05:00-00:10:00 71       4        0        9        0        0        84      
00:10:00-00:15:00 80       6        0        16       0        0        102     
00:15:00-00:20:00 77       5        0        11       0        0        93      
00:20:00-00:25:00 80       7        0        9        0        0        96      
00:25:00-00:30:00 59       1        0        5        0        0        65      
00:30:00-00:35:00 62       3        0        6        0        0        71      
00:35:00-00:40:00 55       2        0        12       0        0        69      
00:40:00-00:45:00 49       0        0        10       0        0        59      
00:45:00-00:50:00 54       2        0        1        0        0        57      
00:50:00-00:55:00 53       2        0        10       0        0        65      
00:55:00-01:00:00 64       4        0        8        0        0        76      
01:00:00-01:05:00 49       2        0        6        0        0        57      
01:05:00-01:10:00 64       3        0        1        0        0        68      
01:10:00-01:15:00 62       2        0        3        0        0        67      
01:15:00-01:20:00 65       2        0        4        0        0        71      
01:20:00-01:25:00 58       6        0        4        0        0        68      
01:25:00-01:30:00 56       2        0        3        0        0        61      
01:30:00-01:35:00 48       1        1        2        0        1        53      
01:35:00-01:40:00 60       1        0        2        0        0        63      
01:40:00-01:45:00 55       2        0        4        0        1        62      
01:45:00-01:50:00 58       4        0        2        0        0        64      
01:50:00-01:55:00 59       0        0        3        0        0        62      
01:55:00-02:00:00 62       12       0        3        0        0        77      
02:00:00-02:05:00 55       2        1        5        0        1        64      
02:05:00-02:10:00 67       5        0        2        0        0        74      
02:10:00-02:15:00 61       6        0        6        0        0        73      
02:15:00-02:20:00 53       1        1        8        0        0        63      
02:20:00-02:25:00 52       6        0        4        0        0        62      
02:25:00-02:30:00 41       3        1        4        0        0        49      
02:30:00-02:35:00 35       7        4        4        0        0        50      
02:35:00-02:40:00 27       3        3        3        0        0        36      
02:40:00-02:45:00 29       2        1        2        0        0        34      
02:45:00-02:50:00 30       3        0        0        0        0        33      
02:50:00-02:55:00 41       2        3        2        0        0        48      
02:55:00-03:00:00 30       2        5        3        0        0        40      
03:00:00-03:05:00 33       5        0        3        0        0        41      
03:05:00-03:10:00 54       9        5        3        0        0        71      
03:10:00-03:15:00 60       4        6        3        0        0        73      
03:15:00-03:20:00 41       3        3        6        1        0        54      
03:20:00-03:25:00 37       2        1        4        0        0        44      
03:25:00-03:30:00 36       1        10       2        0        0        49      
03:30:00-03:35:00 35       3        3        5        0        0        46      
03:35:00-03:40:00 26       5        4        2        0        0        37      
03:40:00-03:45:00 25       4        4        1        0        0        34      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 18       4        2        2        0        0        26      
03:55:00-04:00:00 20       7        1        1        0        0        29      
04:00:00-04:05:00 20       1        0        3        0        0        24      
04:05:00-04:10:00 25       3        3        2        0        0        33      
04:10:00-04:15:00 24       2        0        2        0        0        28      
04:15:00-04:20:00 29       2        3        4        0        0        38      
04:20:00-04:25:00 36       5        5        4        0        0        50      
04:25:00-04:30:00 26       0        2        5        0        0        33      
04:30:00-04:35:00 43       2        1        1        0        0        47      
04:35:00-04:40:00 37       5        9        5        0        0        56      
04:40:00-04:45:00 33       2        0        6        0        0        41      
04:45:00-04:50:00 46       3        4        4        0        0        57      
04:50:00-04:55:00 27       3        1        5        0        0        36      
04:55:00-05:00:00 41       4        12       8        0        0        65      
05:00:00-05:05:00 31       1        7        5        0        0        44      
05:05:00-05:10:00 35       3        0        0        0        0        38      
05:10:00-05:15:00 34       4        3        7        0        0        48      
05:15:00-05:20:00 15       2        2        1        1        0        21      
05:20:00-05:25:00 30       2        0        1        0        0        33      
05:25:00-05:30:00 24       3        2        3        0        0        32      
05:30:00-05:35:00 25       3        0        2        0        0        30      
05:35:00-05:40:00 17       2        0        1        0        0        20      
05:40:00-05:45:00 23       2        1        3        0        0        29      
05:45:00-05:50:00 21       3        2        4        0        0        30      
05:50:00-05:55:00 20       1        0        1        0        0        22      
05:55:00-06:00:00 38       4        4        3        0        0        49      
06:00:00-06:05:00 26       2        2        4        0        0        34      
06:05:00-06:10:00 26       1        0        6        0        0        33      
06:10:00-06:15:00 34       2        3        4        0        0        43      
06:15:00-06:20:00 31       4        6        0        0        0        41      
06:20:00-06:25:00 25       3        4        2        0        0        34      
06:25:00-06:30:00 27       2        6        4        0        0        39      
06:30:00-06:35:00 25       1        0        5        0        1        32      
06:35:00-06:40:00 33       4        5        7        0        0        49      
06:40:00-06:45:00 40       8        2        5        0        0        55      
06:45:00-06:50:00 31       3        1        2        0        0        37      
06:50:00-06:55:00 30       1        1        2        0        0        34      
06:55:00-07:00:00 33       3        1        6        0        0        43      
07:00:00-07:05:00 22       0        0        2        0        0        24      
07:05:00-07:10:00 33       0        3        6        0        1        43      
07:10:00-07:15:00 35       4        1        6        0        0        46      
07:15:00-07:20:00 41       1        2        6        0        0        50      
07:20:00-07:25:00 29       3        1        7        0        0        40      
07:25:00-07:30:00 24       4        0        10       0        0        38      
07:30:00-07:35:00 46       0        2        8        0        0        56      
07:35:00-07:40:00 37       3        3        5        0        0        48      
07:40:00-07:45:00 42       1        2        6        0        0        51      
07:45:00-07:50:00 30       3        2        3        0        0        38      
07:50:00-07:55:00 42       3        1        6        0        0        52      
07:55:00-08:00:00 40       3        1        6        0        0        50      
08:00:00-08:05:00 34       1        3        1        0        0        39      
08:05:00-08:10:00 27       2        1        5        0        0        35      
08:10:00-08:15:00 28       3        1        2        0        0        34      
08:15:00-08:20:00 28       6        1        4        0        0        39      
08:20:00-08:25:00 19       0        0        2        0        0        21      
08:25:00-08:30:00 43       5        2        4        0        0        54      
08:30:00-08:35:00 33       3        2        8        0        0        46      
