DCNv2-Pan - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-18 22:24:52
Model: /home/migui/Downloads/dcnv2-yolov8-neck-pan-20260318T004653Z-1-001/dcnv2-yolov8-neck-pan/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9252
IDF1:               0.9176
ID Switches:        1313
Mostly Tracked (MT):(86.0%)
Mostly Lost (ML):   (0.5%)
GFLOPs:             nan
FPS:                107.47
Runtime:            01:40:29
Class Switches:     7687

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2653
  MOTORCYCLE      383
  TRICYCLE        36
  VAN             517
  BUS             0
  TRUCK           2
  TOTAL           3591

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 63       10       0        8        0        0        81      
00:05:00-00:10:00 75       2        0        10       0        0        87      
00:10:00-00:15:00 71       1        0        13       0        0        85      
00:15:00-00:20:00 78       1        0        15       0        0        94      
00:20:00-00:25:00 69       1        0        10       0        0        80      
00:25:00-00:30:00 41       0        0        4        0        0        45      
00:30:00-00:35:00 31       1        0        6        0        0        38      
00:35:00-00:40:00 35       1        0        12       0        0        48      
00:40:00-00:45:00 32       2        0        10       0        0        44      
00:45:00-00:50:00 32       0        0        6        0        0        38      
00:50:00-00:55:00 24       0        0        1        0        0        25      
00:55:00-01:00:00 29       3        0        11       0        0        43      
01:00:00-01:05:00 45       6        0        7        0        0        58      
01:05:00-01:10:00 52       5        0        2        0        0        59      
01:10:00-01:15:00 41       12       0        3        0        0        56      
01:15:00-01:20:00 29       6        0        1        0        0        36      
01:20:00-01:25:00 12       8        0        2        0        0        22      
01:25:00-01:30:00 26       9        0        6        0        0        41      
01:30:00-01:35:00 22       6        0        0        0        0        28      
01:35:00-01:40:00 8        4        0        1        0        0        13      
01:40:00-01:45:00 20       12       0        5        0        0        37      
01:45:00-01:50:00 46       12       0        7        0        0        65      
01:50:00-01:55:00 9        12       0        1        0        0        22      
01:55:00-02:00:00 36       8        0        7        0        0        51      
02:00:00-02:05:00 13       12       0        0        0        0        25      
02:05:00-02:10:00 41       7        0        4        0        0        52      
02:10:00-02:15:00 11       4        0        3        0        0        18      
02:15:00-02:20:00 15       7        0        3        0        0        25      
02:20:00-02:25:00 18       2        1        3        0        0        24      
02:25:00-02:30:00 9        2        0        0        0        0        11      
02:30:00-02:35:00 12       1        0        3        0        0        16      
