DCNv2-Full - 6to6_g35.mp4 Full Tracking Report
============================================================
Date: 2026-03-18 11:12:34
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g35.mp4
Frames: 648107 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9177
IDF1:               0.9288
Mostly Tracked (MT):(87.7%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                83.98
Runtime:            02:08:36
Class Switches:     12541

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2751
  MOTORCYCLE      633
  TRICYCLE        326
  VAN             365
  BUS             0
  TRUCK           12
  TOTAL           4087

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
08:25:00-08:30:00 8        4        3        1        0        0        16      
08:30:00-08:35:00 8        2        1        1        0        0        12      
08:35:00-08:40:00 4        4        4        2        0        0        14      
08:40:00-08:45:00 11       3        2        3        0        0        19      
08:45:00-08:50:00 6        4        3        1        0        0        14      
08:50:00-08:55:00 7        1        2        0        0        0        10      
08:55:00-09:00:00 3        3        1        0        0        0        7       
09:00:00-09:05:00 14       2        3        4        0        1        24      
09:05:00-09:10:00 25       2        5        4        0        0        36      
09:10:00-09:15:00 34       5        2        9        0        0        50      
09:15:00-09:20:00 26       1        3        7        0        0        37      
09:20:00-09:25:00 32       4        2        7        0        0        45      
09:25:00-09:30:00 19       3        6        7        0        0        35      
09:30:00-09:35:00 36       5        3        5        0        0        49      
09:35:00-09:40:00 41       4        4        8        0        1        58      
09:40:00-09:45:00 38       6        3        3        0        0        50      
09:45:00-09:50:00 38       4        5        2        0        0        49      
09:50:00-09:55:00 24       1        4        4        0        0        33      
09:55:00-10:00:00 14       3        2        3        0        0        22      
10:00:00-10:05:00 28       3        4        3        0        0        38      
10:05:00-10:10:00 18       3        0        1        0        0        22      
10:10:00-10:15:00 22       9        5        0        0        0        36      
10:15:00-10:20:00 24       7        5        3        0        0        39      
10:20:00-10:25:00 40       4        3        7        0        0        54      
10:25:00-10:30:00 39       7        2        4        0        0        52      
10:30:00-10:35:00 27       2        4        5        0        1        39      
10:35:00-10:40:00 30       7        3        4        0        0        44      
10:40:00-10:45:00 35       8        6        9        0        0        58      
10:45:00-10:50:00 41       6        1        5        0        0        53      
10:50:00-10:55:00 26       6        4        3        0        0        39      
10:55:00-11:00:00 32       5        7        6        0        0        50      
11:00:00-11:05:00 28       4        4        3        0        1        40      
11:05:00-11:10:00 35       14       5        1        0        0        55      
11:10:00-11:15:00 38       20       2        3        0        0        63      
11:15:00-11:20:00 45       10       4        2        0        0        61      
11:20:00-11:25:00 39       5        2        7        0        0        53      
11:25:00-11:30:00 32       4        5        6        0        0        47      
11:30:00-11:35:00 30       5        2        3        0        0        40      
11:35:00-11:40:00 23       8        2        5        0        0        38      
11:40:00-11:45:00 31       8        3        4        0        0        46      
11:45:00-11:50:00 22       4        5        3        0        0        34      
11:50:00-11:55:00 15       2        1        2        0        0        20      
11:55:00-12:00:00 19       2        3        1        0        0        25      

SWITCH STATISTICS (over 12:00:07 period)
------------------------------------------------------------
ID Switches Total:                      2051
ID Switches / Hour:                     170.89
Counted Vehs with ID Switch:            209/4087 (5.11%)
Tracks with Class Switch:               2601/12994 (20.02%)
Counted Vehs with Class Switch:         867/4087 (21.21%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     12541
On Counted Vehicles:                    3418
Avg per Affected Counted Veh:           3.94
Per Hour:                               1044.91

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     7386
On Counted Vehicles:                    1875
Avg per Affected Counted Veh:           2.16
Per Hour:                               615.40

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 7        52       86       8.14       60.47     
00:05:00-00:10:00 14       76       88       15.91      86.36     
00:10:00-00:15:00 9        70       73       12.33      95.89     
00:15:00-00:20:00 25       163      134      18.66      121.64    
00:20:00-00:25:00 43       127      161      26.71      78.88     
00:25:00-00:30:00 29       149      113      25.66      131.86    
00:30:00-00:35:00 40       182      145      27.59      125.52    
00:35:00-00:40:00 3        51       68       4.41       75.00     
00:40:00-00:45:00 3        73       87       3.45       83.91     
00:45:00-00:50:00 12       177      143      8.39       123.78    
00:50:00-00:55:00 16       143      176      9.09       81.25     
00:55:00-01:00:00 37       188      133      27.82      141.35    
01:00:00-01:05:00 9        102      109      8.26       93.58     
01:05:00-01:10:00 10       71       120      8.33       59.17     
01:10:00-01:15:00 2        40       94       2.13       42.55     
01:15:00-01:20:00 8        77       114      7.02       67.54     
01:20:00-01:25:00 0        10       47       0.00       21.28     
01:25:00-01:30:00 6        181      174      3.45       104.02    
01:30:00-01:35:00 12       135      107      11.21      126.17    
01:35:00-01:40:00 24       160      164      14.63      97.56     
01:40:00-01:45:00 12       209      126      9.52       165.87    
01:45:00-01:50:00 18       193      151      11.92      127.81    
01:50:00-01:55:00 29       142      135      21.48      105.19    
01:55:00-02:00:00 11       90       108      10.19      83.33     
02:00:00-02:05:00 41       174      161      25.47      108.07    
02:05:00-02:10:00 18       195      138      13.04      141.30    
02:10:00-02:15:00 34       137      138      24.64      99.28     
02:15:00-02:20:00 26       258      178      14.61      144.94    
02:20:00-02:25:00 41       229      171      23.98      133.92    
02:25:00-02:30:00 10       138      123      8.13       112.20    
02:30:00-02:35:00 47       242      173      27.17      139.88    
02:35:00-02:40:00 28       149      165      16.97      90.30     
02:40:00-02:45:00 47       233      172      27.33      135.47    
02:45:00-02:50:00 7        31       79       8.86       39.24     
02:50:00-02:55:00 7        91       68       10.29      133.82    
02:55:00-03:00:00 14       100      118      11.86      84.75     
03:00:00-03:05:00 2        33       65       3.08       50.77     
03:05:00-03:10:00 2        14       53       3.77       26.42     
03:10:00-03:15:00 13       96       88       14.77      109.09    
03:15:00-03:20:00 6        17       75       8.00       22.67     
03:20:00-03:25:00 1        43       72       1.39       59.72     
03:25:00-03:30:00 36       99       121      29.75      81.82     
03:30:00-03:35:00 4        73       87       4.60       83.91     
03:35:00-03:40:00 8        96       74       10.81      129.73    
03:40:00-03:45:00 1        28       47       2.13       59.57     
03:45:00-03:50:00 2        18       57       3.51       31.58     
03:50:00-03:55:00 2        29       46       4.35       63.04     
03:55:00-04:00:00 4        70       46       8.70       152.17    
04:00:00-04:05:00 4        43       55       7.27       78.18     
04:05:00-04:10:00 5        50       44       11.36      113.64    
04:10:00-04:15:00 1        16       39       2.56       41.03     
04:15:00-04:20:00 1        34       27       3.70       125.93    
04:20:00-04:25:00 1        44       41       2.44       107.32    
04:25:00-04:30:00 3        24       38       7.89       63.16     
04:30:00-04:35:00 3        16       44       6.82       36.36     
04:35:00-04:40:00 2        37       63       3.17       58.73     
04:40:00-04:45:00 3        29       56       5.36       51.79     
04:45:00-04:50:00 1        26       43       2.33       60.47     
04:50:00-04:55:00 4        29       66       6.06       43.94     
04:55:00-05:00:00 10       118      93       10.75      126.88    
05:00:00-05:05:00 5        46       84       5.95       54.76     
05:05:00-05:10:00 8        40       81       9.88       49.38     
05:10:00-05:15:00 8        64       93       8.60       68.82     
05:15:00-05:20:00 8        41       97       8.25       42.27     
05:20:00-05:25:00 36       62       92       39.13      67.39     
05:25:00-05:30:00 49       64       93       52.69      68.82     
05:30:00-05:35:00 7        48       64       10.94      75.00     
05:35:00-05:40:00 2        44       44       4.55       100.00    
05:40:00-05:45:00 19       68       64       29.69      106.25    
05:45:00-05:50:00 6        44       60       10.00      73.33     
05:50:00-05:55:00 3        37       50       6.00       74.00     
05:55:00-06:00:00 1        30       54       1.85       55.56     
06:00:00-06:05:00 10       51       68       14.71      75.00     
06:05:00-06:10:00 4        82       55       7.27       149.09    
06:10:00-06:15:00 1        38       50       2.00       76.00     
06:15:00-06:20:00 6        56       73       8.22       76.71     
