DCNv2-Full - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-18 19:03:41
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9150
IDF1:               0.9175
ID Switches:        1340
Mostly Tracked (MT): (84.3%)
Mostly Lost (ML):    (0.7%)
GFLOPs:             nan
FPS:                103.40
Runtime:            01:44:27
Class Switches:     6827

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2671
  MOTORCYCLE      405
  TRICYCLE        33
  VAN             469
  BUS             0
  TRUCK           0
  TOTAL           3578

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 64       11       0        7        0        0        82      
00:05:00-00:10:00 72       3        0        11       0        0        86      
00:10:00-00:15:00 71       2        0        12       0        0        85      
00:15:00-00:20:00 74       1        0        15       0        0        90      
00:20:00-00:25:00 71       1        0        9        0        0        81      
00:25:00-00:30:00 41       0        0        3        0        0        44      
00:30:00-00:35:00 30       1        0        7        0        0        38      
00:35:00-00:40:00 40       1        0        10       0        0        51      
00:40:00-00:45:00 34       2        0        7        0        0        43      
00:45:00-00:50:00 31       0        0        7        0        0        38      
00:50:00-00:55:00 23       1        0        2        0        0        26      
00:55:00-01:00:00 30       3        0        8        0        0        41      
01:00:00-01:05:00 47       6        0        6        0        0        59      
01:05:00-01:10:00 51       6        0        4        0        0        61      
01:10:00-01:15:00 40       13       0        3        0        0        56      
01:15:00-01:20:00 29       5        0        1        0        0        35      
01:20:00-01:25:00 12       7        0        2        0        0        21      
01:25:00-01:30:00 27       10       0        7        0        0        44      
01:30:00-01:35:00 21       7        0        1        0        0        29      
01:35:00-01:40:00 8        5        0        1        0        0        14      
01:40:00-01:45:00 21       13       0        5        0        0        39      
01:45:00-01:50:00 48       11       0        5        0        0        64      
01:50:00-01:55:00 9        12       0        1        0        0        22      
01:55:00-02:00:00 38       8        0        4        0        0        50      
02:00:00-02:05:00 13       10       0        0        0        0        23      
02:05:00-02:10:00 42       7        0        3        0        0        52      
02:10:00-02:15:00 12       4        0        2        0        0        18      
02:15:00-02:20:00 15       6        1        3        0        0        25      
02:20:00-02:25:00 18       4        0        3        0        0        25      
02:25:00-02:30:00 9        2        0        0        0        0        11      
02:30:00-02:35:00 12       1        0        2        0        0        15      
02:35:00-02:40:00 15       5        0        0        0        0        20      
02:40:00-02:45:00 14       2        0        0        0        0        16      
02:45:00-02:50:00 8        3        0        1        0        0        12      
02:50:00-02:55:00 10       4        0        0        0        0        14      
02:55:00-03:00:00 19       3        0        2        0        0        24      
03:00:00-03:05:00 12       2        0        1        0        0        15      
03:05:00-03:10:00 6        2        0        1        0        0        9       
03:10:00-03:15:00 13       5        0        2        0        0        20      
03:15:00-03:20:00 15       2        2        2        0        0        21      
03:20:00-03:25:00 10       6        2        1        0        0        19      
03:25:00-03:30:00 13       2        2        2        0        0        19      
03:30:00-03:35:00 7        3        2        0        0        0        12      
03:35:00-03:40:00 14       4        0        1        0        0        19      
03:40:00-03:45:00 4        2        1        1        0        0        8       
03:45:00-03:50:00 4        3        0        0        0        0        7       
03:50:00-03:55:00 10       4        1        2        0        0        17      
03:55:00-04:00:00 8        2        0        0        0        0        10      
04:00:00-04:05:00 6        2        0        0        0        0        8       
04:05:00-04:10:00 6        4        1        1        0        0        12      
04:10:00-04:15:00 5        6        0        1        0        0        12      
04:15:00-04:20:00 7        4        0        5        0        0        16      
04:20:00-04:25:00 5        0        0        4        0        0        9       
04:25:00-04:30:00 12       0        0        4        0        0        16      
04:30:00-04:35:00 6        4        1        8        0        0        19      
04:35:00-04:40:00 14       0        2        6        0        0        22      
04:40:00-04:45:00 24       3        1        5        0        0        33      
04:45:00-04:50:00 25       2        2        4        0        0        33      
04:50:00-04:55:00 27       1        1        6        0        0        35      
04:55:00-05:00:00 12       0        0        2        0        0        14      
05:00:00-05:05:00 28       3        1        5        0        0        37      
05:05:00-05:10:00 11       1        0        3        0        0        15      
05:10:00-05:15:00 5        0        0        4        0        0        9       
05:15:00-05:20:00 17       1        0        1        0        0        19      
05:20:00-05:25:00 15       0        0        1        0        0        16      
05:25:00-05:30:00 17       0        0        2        0        0        19      
05:30:00-05:35:00 13       0        0        0        0        0        13      
05:35:00-05:40:00 35       2        1        1        0        0        39      
05:40:00-05:45:00 17       4        0        2        0        0        23      
05:45:00-05:50:00 9        1        0        6        0        0        16      
05:50:00-05:55:00 17       5        1        1        0        0        24      
05:55:00-06:00:00 14       4        0        2        0        0        20      
06:00:00-06:05:00 12       3        1        1        0        0        17      
06:05:00-06:10:00 17       5        0        2        0        0        24      
06:10:00-06:15:00 8        3        5        0        0        0        16      
06:15:00-06:20:00 9        2        0        4        0        0        15      
06:20:00-06:25:00 17       2        0        4        0        0        23      
06:25:00-06:30:00 22       3        1        9        0        0        35      
06:30:00-06:35:00 4        1        0        1        0        0        6       
06:35:00-06:40:00 3        0        0        0        0        0        3       
06:40:00-06:45:00 0        0        0        1        0        0        1       
06:45:00-06:50:00 0        0        0        0        0        0        0       
06:50:00-06:55:00 0        0        0        0        0        0        0       
06:55:00-07:00:00 3        1        0        1        0        0        5       
07:00:00-07:05:00 0        0        0        2        0        0        2       
07:05:00-07:10:00 0        0        0        1        0        0        1       
07:10:00-07:15:00 11       0        0        4        0        0        15      
07:15:00-07:20:00 16       2        0        4        0        0        22      
07:20:00-07:25:00 16       2        0        3        0        0        21      
07:25:00-07:30:00 12       0        0        3        0        0        15      
07:30:00-07:35:00 19       0        0        1        0        0        20      
07:35:00-07:40:00 20       2        0        5        0        0        27      
07:40:00-07:45:00 6        0        0        1        0        0        7       
07:45:00-07:50:00 3        0        0        1        0        0        4       
07:50:00-07:55:00 15       0        0        9        0        0        24      
07:55:00-08:00:00 33       1        0        6        0        0        40      
08:00:00-08:05:00 36       2        0        5        0        0        43      
08:05:00-08:10:00 42       1        1        5        0        0        49      
08:10:00-08:15:00 15       1        0        2        0        0        18      
08:15:00-08:20:00 24       1        0        3        0        0        28      
08:20:00-08:25:00 3        0        0        0        0        0        3       
08:25:00-08:30:00 12       1        0        3        0        0        16      
08:30:00-08:35:00 34       0        0        3        0        0        37      
08:35:00-08:40:00 21       3        0        4        0        0        28      
08:40:00-08:45:00 21       1        0        6        0        0        28      
08:45:00-08:50:00 26       0        0        5        0        0        31      
08:50:00-08:55:00 20       3        0        3        0        0        26      
08:55:00-09:00:00 25       6        0        5        0        0        36      
09:00:00-09:05:00 23       0        0        4        0        0        27      
09:05:00-09:10:00 20       0        0        5        0        0        25      
09:10:00-09:15:00 29       2        0        4        0        0        35      
09:15:00-09:20:00 33       5        1        7        0        0        46      
09:20:00-09:25:00 22       1        0        6        0        0        29      
09:25:00-09:30:00 13       1        0        2        0        0        16      
09:30:00-09:35:00 26       2        0        4        0        0        32      
09:35:00-09:40:00 12       4        0        6        0        0        22      
09:40:00-09:45:00 24       1        0        4        0        0        29      
09:45:00-09:50:00 20       1        0        8        0        0        29      
09:50:00-09:55:00 12       0        0        2        0        0        14      
09:55:00-10:00:00 27       4        0        6        0        0        37      
10:00:00-10:05:00 22       2        0        13       0        0        37      
10:05:00-10:10:00 15       5        0        3        0        0        23      
10:10:00-10:15:00 14       2        0        6        0        0        22      
10:15:00-10:20:00 16       1        0        1        0        0        18      
10:20:00-10:25:00 21       1        0        5        0        0        27      
10:25:00-10:30:00 21       2        0        4        0        0        27      
10:30:00-10:35:00 13       3        0        6        0        0        22      
10:35:00-10:40:00 15       3        0        3        0        0        21      
10:40:00-10:45:00 14       3        0        4        0        0        21      
10:45:00-10:50:00 11       4        0        0        0        0        15      
10:50:00-10:55:00 13       6        0        0        0        0        19      
10:55:00-11:00:00 10       5        0        1        0        0        16      
11:00:00-11:05:00 7        4        0        4        0        0        15      
11:05:00-11:10:00 9        5        1        2        0        0        17      
11:10:00-11:15:00 13       4        0        2        0        0        19      
11:15:00-11:20:00 14       5        0        1        0        0        20      
11:20:00-11:25:00 17       7        0        4        0        0        28      
11:25:00-11:30:00 10       3        0        0        0        0        13      
11:30:00-11:35:00 11       5        0        0        0        0        16      
11:35:00-11:40:00 11       3        1        2        0        0        17      
11:40:00-11:45:00 10       1        0        1        0        0        12      
11:45:00-11:50:00 8        1        0        1        0        0        10      
11:50:00-11:55:00 6        4        0        0        0        0        10      
11:55:00-12:00:00 5        0        0        0        0        0        5       

SWITCH STATISTICS (over 11:59:59 period)
------------------------------------------------------------
ID Switches Total:                      1340
ID Switches / Hour:                     111.67
Counted Vehs with ID Switch:            1335/3578 (37.31%)
Tracks with Class Switch:               1820/8548 (21.29%)
Counted Vehs with Class Switch:         1349/3578 (37.70%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     6827
On Counted Vehicles:                    5582
Avg per Affected Counted Veh:           4.14
Per Hour:                               568.92

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     3799
On Counted Vehicles:                    2959
Avg per Affected Counted Veh:           2.19
Per Hour:                               316.58

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 25       95       132      18.94      71.97     
00:05:00-00:10:00 47       229      199      23.62      115.08    
00:10:00-00:15:00 36       142      194      18.56      73.20     
00:15:00-00:20:00 44       211      215      20.47      98.14     
00:20:00-00:25:00 20       174      164      12.20      106.10    
00:25:00-00:30:00 19       76       137      13.87      55.47     
00:30:00-00:35:00 13       79       111      11.71      71.17     
00:35:00-00:40:00 16       98       137      11.68      71.53     
00:40:00-00:45:00 13       165      148      8.78       111.49    
00:45:00-00:50:00 17       41       112      15.18      36.61     
00:50:00-00:55:00 6        38       81       7.41       46.91     
00:55:00-01:00:00 16       157      108      14.81      145.37    
01:00:00-01:05:00 34       118      163      20.86      72.39     
01:05:00-01:10:00 17       63       170      10.00      37.06     
01:10:00-01:15:00 39       147      150      26.00      98.00     
01:15:00-01:20:00 8        44       81       9.88       54.32     
01:20:00-01:25:00 9        29       59       15.25      49.15     
01:25:00-01:30:00 26       128      128      20.31      100.00    
01:30:00-01:35:00 10       57       71       14.08      80.28     
01:35:00-01:40:00 6        7        34       17.65      20.59     
01:40:00-01:45:00 23       81       100      23.00      81.00     
01:45:00-01:50:00 33       151      168      19.64      89.88     
01:50:00-01:55:00 8        38       60       13.33      63.33     
