DCNv3-Liu - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-21 01:06:23
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_liu/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9965
IDF1:               0.9982
ID Switches:        863
Mostly Tracked (MT):(88.7%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                99.42
Runtime:            01:34:15
Class Switches:     8424

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4735
  MOTORCYCLE      329
  TRICYCLE        190
  VAN             514
  BUS             4
  TRUCK           9
  TOTAL           5781

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 59       5        0        9        0        0        73      
00:05:00-00:10:00 70       3        0        10       0        0        83      
00:10:00-00:15:00 82       6        0        14       0        0        102     
00:15:00-00:20:00 76       5        0        11       0        0        92      
00:20:00-00:25:00 79       5        0        8        0        0        92      
00:25:00-00:30:00 59       1        0        4        0        0        64      
00:30:00-00:35:00 61       2        0        6        0        0        69      
00:35:00-00:40:00 54       2        0        11       0        0        67      
00:40:00-00:45:00 50       0        0        8        0        0        58      
00:45:00-00:50:00 53       2        0        1        0        0        56      
00:50:00-00:55:00 55       1        0        7        0        0        63      
00:55:00-01:00:00 66       4        0        6        0        0        76      
01:00:00-01:05:00 48       2        0        6        0        0        56      
01:05:00-01:10:00 63       3        0        1        0        0        67      
01:10:00-01:15:00 61       2        0        3        0        0        66      
01:15:00-01:20:00 62       1        0        4        0        0        67      
01:20:00-01:25:00 56       6        0        5        0        0        67      
01:25:00-01:30:00 54       1        0        2        0        0        57      
01:30:00-01:35:00 48       4        0        4        0        1        57      
01:35:00-01:40:00 58       1        0        2        0        0        61      
01:40:00-01:45:00 56       2        0        5        0        1        64      
01:45:00-01:50:00 60       5        0        2        0        0        67      
01:50:00-01:55:00 61       0        0        3        0        0        64      
01:55:00-02:00:00 60       12       0        3        0        0        75      
02:00:00-02:05:00 56       3        1        3        0        1        64      
02:05:00-02:10:00 66       6        0        3        0        0        75      
02:10:00-02:15:00 60       6        0        7        0        0        73      
02:15:00-02:20:00 53       0        1        21       0        0        75      
02:20:00-02:25:00 53       5        0        3        0        0        61      
02:25:00-02:30:00 40       3        1        5        0        0        49      
02:30:00-02:35:00 34       5        4        5        0        0        48      
02:35:00-02:40:00 28       3        3        2        0        0        36      
02:40:00-02:45:00 30       1        1        1        0        0        33      
02:45:00-02:50:00 29       3        0        0        0        0        32      
02:50:00-02:55:00 40       3        3        1        0        0        47      
02:55:00-03:00:00 30       2        5        3        0        0        40      
03:00:00-03:05:00 32       4        0        4        0        0        40      
03:05:00-03:10:00 55       11       5        3        0        0        74      
03:10:00-03:15:00 62       4        6        2        0        0        74      
03:15:00-03:20:00 40       2        3        7        0        0        52      
03:20:00-03:25:00 38       2        1        5        0        0        46      
03:25:00-03:30:00 36       0        10       3        0        0        49      
03:30:00-03:35:00 35       3        3        5        0        0        46      
03:35:00-03:40:00 26       5        5        2        0        0        38      
03:40:00-03:45:00 25       3        4        0        0        0        32      
03:45:00-03:50:00 18       1        2        0        0        0        21      
03:50:00-03:55:00 17       4        2        2        0        0        25      
03:55:00-04:00:00 20       6        1        1        0        0        28      
04:00:00-04:05:00 20       1        0        3        0        0        24      
04:05:00-04:10:00 25       4        3        3        0        0        35      
04:10:00-04:15:00 24       2        0        2        0        0        28      
04:15:00-04:20:00 29       2        3        4        0        0        38      
04:20:00-04:25:00 36       4        5        4        0        0        49      
04:25:00-04:30:00 25       0        2        5        0        0        32      
04:30:00-04:35:00 43       2        1        1        0        0        47      
04:35:00-04:40:00 36       5        9        5        0        0        55      
04:40:00-04:45:00 33       2        0        7        0        0        42      
04:45:00-04:50:00 47       2        4        3        0        0        56      
04:50:00-04:55:00 27       3        1        5        0        0        36      
04:55:00-05:00:00 40       3        12       9        0        0        64      
05:00:00-05:05:00 33       1        7        3        0        0        44      
05:05:00-05:10:00 36       2        0        1        0        0        39      
05:10:00-05:15:00 35       3        3        6        0        0        47      
05:15:00-05:20:00 15       1        2        1        1        0        20      
05:20:00-05:25:00 30       4        0        1        0        0        35      
05:25:00-05:30:00 24       3        2        3        0        0        32      
05:30:00-05:35:00 25       2        0        2        0        0        29      
05:35:00-05:40:00 17       2        0        1        0        0        20      
05:40:00-05:45:00 23       2        1        3        0        0        29      
05:45:00-05:50:00 22       2        2        2        0        1        29      
05:50:00-05:55:00 20       2        0        0        0        0        22      
05:55:00-06:00:00 39       5        4        2        0        0        50      
06:00:00-06:05:00 29       1        2        1        0        0        33      
06:05:00-06:10:00 29       1        0        3        0        0        33      
06:10:00-06:15:00 35       2        3        3        0        0        43      
06:15:00-06:20:00 30       4        6        1        0        0        41      
06:20:00-06:25:00 25       3        4        2        0        0        34      
06:25:00-06:30:00 28       2        6        3        0        0        39      
06:30:00-06:35:00 25       1        0        3        1        0        30      
06:35:00-06:40:00 34       3        5        5        0        0        47      
06:40:00-06:45:00 39       4        2        4        0        0        49      
06:45:00-06:50:00 31       3        1        2        0        0        37      
06:50:00-06:55:00 30       1        1        2        0        0        34      
06:55:00-07:00:00 35       3        1        4        0        0        43      
07:00:00-07:05:00 21       0        0        2        0        0        23      
07:05:00-07:10:00 34       1        3        7        0        0        45      
07:10:00-07:15:00 37       4        1        5        0        0        47      
07:15:00-07:20:00 41       2        2        6        2        0        53      
07:20:00-07:25:00 29       3        1        8        0        0        41      
07:25:00-07:30:00 24       4        0        10       0        0        38      
