DCNv3-Pan - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 14:31:08
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_pan/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.8959
IDF1:               0.8980
ID Switches:        1267
Mostly Tracked (MT):(86.9%)
Mostly Lost (ML):   (0.8%)
GFLOPs:             nan
FPS:                60.74
Runtime:            02:57:49
Class Switches:     7446

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2756
  MOTORCYCLE      398
  TRICYCLE        45
  VAN             470
  BUS             0
  TRUCK           0
  TOTAL           3669

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 65       11       0        7        0        0        83      
00:05:00-00:10:00 77       3        0        9        0        0        89      
00:10:00-00:15:00 72       2        0        12       0        0        86      
00:15:00-00:20:00 77       1        0        13       0        0        91      
00:20:00-00:25:00 70       4        0        8        0        0        82      
00:25:00-00:30:00 42       0        0        3        0        0        45      
00:30:00-00:35:00 31       1        0        7        0        0        39      
00:35:00-00:40:00 43       1        0        8        0        0        52      
00:40:00-00:45:00 39       2        0        8        0        0        49      
00:45:00-00:50:00 34       1        0        5        0        0        40      
00:50:00-00:55:00 27       1        0        2        0        0        30      
00:55:00-01:00:00 33       3        0        11       0        0        47      
01:00:00-01:05:00 48       5        0        6        0        0        59      
01:05:00-01:10:00 54       6        0        3        0        0        63      
01:10:00-01:15:00 40       13       0        4        0        0        57      
01:15:00-01:20:00 31       5        0        1        0        0        37      
01:20:00-01:25:00 13       7        0        2        0        0        22      
01:25:00-01:30:00 27       9        0        7        0        0        43      
01:30:00-01:35:00 22       7        0        1        0        0        30      
01:35:00-01:40:00 9        4        0        1        0        0        14      
01:40:00-01:45:00 21       12       0        4        0        0        37      
01:45:00-01:50:00 48       12       0        6        0        0        66      
01:50:00-01:55:00 9        11       0        1        0        0        21      
01:55:00-02:00:00 38       8        0        4        0        0        50      
02:00:00-02:05:00 13       12       0        0        0        0        25      
02:05:00-02:10:00 42       7        0        3        0        0        52      
02:10:00-02:15:00 11       4        0        3        0        0        18      
02:15:00-02:20:00 15       7        0        3        0        0        25      
02:20:00-02:25:00 18       2        2        3        0        0        25      
02:25:00-02:30:00 9        2        0        1        0        0        12      
02:30:00-02:35:00 13       1        0        1        0        0        15      
02:35:00-02:40:00 15       5        0        0        0        0        20      
02:40:00-02:45:00 14       2        0        0        0        0        16      
02:45:00-02:50:00 7        3        1        1        0        0        12      
02:50:00-02:55:00 10       3        1        0        0        0        14      
02:55:00-03:00:00 19       3        0        2        0        0        24      
03:00:00-03:05:00 12       3        0        1        0        0        16      
03:05:00-03:10:00 6        1        1        1        0        0        9       
03:10:00-03:15:00 13       5        0        2        0        0        20      
03:15:00-03:20:00 15       2        2        2        0        0        21      
03:20:00-03:25:00 11       6        2        0        0        0        19      
03:25:00-03:30:00 13       1        3        2        0        0        19      
03:30:00-03:35:00 7        3        4        0        0        0        14      
03:35:00-03:40:00 15       3        0        1        0        0        19      
03:40:00-03:45:00 4        2        2        1        0        0        9       
03:45:00-03:50:00 4        3        0        0        0        0        7       
03:50:00-03:55:00 10       3        2        2        0        0        17      
03:55:00-04:00:00 8        2        0        0        0        0        10      
04:00:00-04:05:00 6        2        0        0        0        0        8       
04:05:00-04:10:00 6        4        2        1        0        0        13      
04:10:00-04:15:00 5        6        0        1        0        0        12      
04:15:00-04:20:00 8        3        1        4        0        0        16      
04:20:00-04:25:00 5        0        0        4        0        0        9       
04:25:00-04:30:00 12       0        0        4        0        0        16      
04:30:00-04:35:00 6        4        1        8        0        0        19      
04:35:00-04:40:00 14       0        2        6        0        0        22      
04:40:00-04:45:00 25       3        1        4        0        0        33      
04:45:00-04:50:00 26       2        2        3        0        0        33      
04:50:00-04:55:00 30       1        1        6        0        0        38      
04:55:00-05:00:00 14       0        0        1        0        0        15      
05:00:00-05:05:00 29       3        1        3        0        0        36      
05:05:00-05:10:00 11       0        0        4        0        0        15      
05:10:00-05:15:00 6        0        0        2        0        0        8       
05:15:00-05:20:00 18       1        1        4        0        0        24      
05:20:00-05:25:00 15       0        0        2        0        0        17      
05:25:00-05:30:00 21       0        0        1        0        0        22      
05:30:00-05:35:00 13       0        0        0        0        0        13      
05:35:00-05:40:00 34       2        1        1        0        0        38      
05:40:00-05:45:00 17       4        0        2        0        0        23      
05:45:00-05:50:00 9        2        0        6        0        0        17      
05:50:00-05:55:00 17       5        1        1        0        0        24      
05:55:00-06:00:00 13       3        1        3        0        0        20      
06:00:00-06:05:00 12       3        1        1        0        0        17      
06:05:00-06:10:00 17       5        0        2        0        0        24      
06:10:00-06:15:00 8        3        5        0        0        0        16      
06:15:00-06:20:00 10       2        0        3        0        0        15      
06:20:00-06:25:00 17       2        0        3        0        0        22      
06:25:00-06:30:00 25       2        2        9        0        0        38      
06:30:00-06:35:00 4        1        0        1        0        0        6       
06:35:00-06:40:00 4        0        0        0        0        0        4       
06:40:00-06:45:00 0        0        0        1        0        0        1       
06:45:00-06:50:00 0        0        0        0        0        0        0       
06:50:00-06:55:00 0        0        0        0        0        0        0       
06:55:00-07:00:00 6        1        0        0        0        0        7       
07:00:00-07:05:00 2        0        0        0        0        0        2       
07:05:00-07:10:00 0        0        0        2        0        0        2       
07:10:00-07:15:00 11       0        0        4        0        0        15      
07:15:00-07:20:00 16       2        0        5        0        0        23      
07:20:00-07:25:00 20       1        0        3        0        0        24      
07:25:00-07:30:00 13       0        0        4        0        0        17      
07:30:00-07:35:00 23       0        0        2        0        0        25      
07:35:00-07:40:00 16       2        0        6        0        0        24      
07:40:00-07:45:00 8        0        0        1        0        0        9       
07:45:00-07:50:00 3        0        0        1        0        0        4       
07:50:00-07:55:00 16       0        0        12       0        0        28      
07:55:00-08:00:00 33       2        0        6        0        0        41      
08:00:00-08:05:00 40       1        0        7        0        0        48      
08:05:00-08:10:00 41       2        0        6        0        0        49      
08:10:00-08:15:00 16       1        0        3        0        0        20      
08:15:00-08:20:00 24       1        0        4        0        0        29      
08:20:00-08:25:00 3        0        0        0        0        0        3       
08:25:00-08:30:00 12       1        0        3        0        0        16      
08:30:00-08:35:00 33       0        0        3        0        0        36      
08:35:00-08:40:00 20       3        0        4        0        0        27      
08:40:00-08:45:00 21       1        0        6        0        0        28      
08:45:00-08:50:00 27       0        0        4        0        0        31      
08:50:00-08:55:00 21       3        0        3        0        0        27      
08:55:00-09:00:00 25       5        0        5        0        0        35      
09:00:00-09:05:00 24       0        0        4        0        0        28      
09:05:00-09:10:00 21       0        0        6        0        0        27      
09:10:00-09:15:00 28       2        0        5        0        0        35      
09:15:00-09:20:00 33       5        1        7        0        0        46      
09:20:00-09:25:00 22       1        0        6        0        0        29      
09:25:00-09:30:00 13       1        0        2        0        0        16      
09:30:00-09:35:00 27       2        0        3        0        0        32      
09:35:00-09:40:00 13       3        0        6        0        0        22      
09:40:00-09:45:00 25       1        0        3        0        0        29      
09:45:00-09:50:00 21       1        0        8        0        0        30      
09:50:00-09:55:00 12       0        0        2        0        0        14      
09:55:00-10:00:00 28       4        0        8        0        0        40      
10:00:00-10:05:00 26       1        0        12       0        0        39      
10:05:00-10:10:00 15       4        0        3        0        0        22      
10:10:00-10:15:00 14       2        0        6        0        0        22      
10:15:00-10:20:00 16       1        0        1        0        0        18      
10:20:00-10:25:00 21       1        0        7        0        0        29      
10:25:00-10:30:00 21       2        0        5        0        0        28      
10:30:00-10:35:00 13       3        0        5        0        0        21      
10:35:00-10:40:00 14       3        0        3        0        0        20      
10:40:00-10:45:00 15       3        0        3        0        0        21      
10:45:00-10:50:00 11       5        0        0        0        0        16      
10:50:00-10:55:00 13       6        0        0        0        0        19      
10:55:00-11:00:00 10       6        0        1        0        0        17      
11:00:00-11:05:00 7        4        0        4        0        0        15      
11:05:00-11:10:00 10       5        0        2        0        0        17      
11:10:00-11:15:00 13       4        0        2        0        0        19      
11:15:00-11:20:00 14       5        0        1        0        0        20      
11:20:00-11:25:00 17       7        0        4        0        0        28      
11:25:00-11:30:00 10       3        0        0        0        0        13      
11:30:00-11:35:00 11       5        0        0        0        0        16      
11:35:00-11:40:00 11       3        1        2        0        0        17      
11:40:00-11:45:00 10       1        0        1        0        0        12      
11:45:00-11:50:00 8        1        0        1        0        0        10      
11:50:00-11:55:00 7        4        0        0        0        0        11      
11:55:00-12:00:00 7        0        0        0        0        0        7       

SWITCH STATISTICS (over 11:59:59 period)
------------------------------------------------------------
ID Switches Total:                      1267
ID Switches / Hour:                     105.58
Counted Vehs with ID Switch:            1285/3669 (35.02%)
Tracks with Class Switch:               2114/9048 (23.36%)
Counted Vehs with Class Switch:         1311/3669 (35.73%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     7446
On Counted Vehicles:                    5587
Avg per Affected Counted Veh:           4.26
Per Hour:                               620.50

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     4257
On Counted Vehicles:                    3021
Avg per Affected Counted Veh:           2.30
Per Hour:                               354.75

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 15       126      142      10.56      88.73     
00:05:00-00:10:00 42       193      206      20.39      93.69     
00:10:00-00:15:00 31       118      200      15.50      59.00     
00:15:00-00:20:00 36       199      224      16.07      88.84     
