DCNv2-FPN - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-18 20:44:17
Model: /home/migui/Downloads/dcnv2-yolov8-neck-fpn-20260318T004118Z-1-001/dcnv2-yolov8-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9052
IDF1:               0.9076
ID Switches:        1305
Mostly Tracked (MT):(85.0%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                107.45
Runtime:            01:40:30
Class Switches:     6369

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2685
  MOTORCYCLE      396
  TRICYCLE        34
  VAN             440
  BUS             0
  TRUCK           0
  TOTAL           3555

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 64       10       0        7        0        0        81      
00:05:00-00:10:00 73       2        0        11       0        0        86      
00:10:00-00:15:00 71       1        0        12       0        0        84      
00:15:00-00:20:00 78       1        0        12       0        0        91      
00:20:00-00:25:00 69       1        0        9        0        0        79      
00:25:00-00:30:00 42       0        0        3        0        0        45      
00:30:00-00:35:00 29       1        0        6        0        0        36      
00:35:00-00:40:00 38       1        0        10       0        0        49      
00:40:00-00:45:00 35       2        0        9        0        0        46      
00:45:00-00:50:00 27       0        0        7        0        0        34      
00:50:00-00:55:00 22       0        0        1        0        0        23      
00:55:00-01:00:00 30       4        0        10       0        0        44      
01:00:00-01:05:00 44       5        0        7        0        0        56      
01:05:00-01:10:00 53       6        0        2        0        0        61      
01:10:00-01:15:00 40       13       0        3        0        0        56      
01:15:00-01:20:00 32       5        0        0        0        0        37      
01:20:00-01:25:00 12       8        0        2        0        0        22      
01:25:00-01:30:00 28       9        0        6        0        0        43      
01:30:00-01:35:00 22       6        0        0        0        0        28      
01:35:00-01:40:00 8        4        0        1        0        0        13      
01:40:00-01:45:00 21       12       0        3        0        0        36      
01:45:00-01:50:00 48       11       0        5        0        0        64      
01:50:00-01:55:00 9        12       0        1        0        0        22      
01:55:00-02:00:00 38       8        0        4        0        0        50      
02:00:00-02:05:00 12       12       0        0        0        0        24      
02:05:00-02:10:00 41       7        0        4        0        0        52      
02:10:00-02:15:00 11       4        0        3        0        0        18      
02:15:00-02:20:00 15       7        0        3        0        0        25      
02:20:00-02:25:00 18       3        1        3        0        0        25      
02:25:00-02:30:00 9        2        0        0        0        0        11      
02:30:00-02:35:00 12       1        0        2        0        0        15      
02:35:00-02:40:00 15       5        0        0        0        0        20      
02:40:00-02:45:00 14       2        0        0        0        0        16      
02:45:00-02:50:00 8        3        0        1        0        0        12      
