DCNv3-Liu - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 16:19:02
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_liu/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9150
IDF1:               0.9175
ID Switches:        1526
Mostly Tracked (MT):(85.7%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                100.19
Runtime:            01:47:48
Class Switches:     7258

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2686
  MOTORCYCLE      386
  TRICYCLE        46
  VAN             469
  BUS             0
  TRUCK           0
  TOTAL           3587

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
08:25:00-08:30:00 13       0        0        3        0        0        16      
08:30:00-08:35:00 34       0        0        3        0        0        37      
08:35:00-08:40:00 20       3        0        4        0        0        27      
08:40:00-08:45:00 21       1        0        6        0        0        28      
08:45:00-08:50:00 26       0        0        4        0        0        30      
08:50:00-08:55:00 20       3        0        3        0        0        26      
08:55:00-09:00:00 26       5        0        4        0        0        35      
09:00:00-09:05:00 25       0        0        2        0        0        27      
09:05:00-09:10:00 20       0        0        5        0        0        25      
09:10:00-09:15:00 28       2        0        5        0        0        35      
09:15:00-09:20:00 33       5        0        8        0        0        46      
09:20:00-09:25:00 23       1        0        5        0        0        29      
09:25:00-09:30:00 13       1        0        2        0        0        16      
09:30:00-09:35:00 27       2        0        4        0        0        33      
09:35:00-09:40:00 12       3        0        6        0        0        21      
09:40:00-09:45:00 25       1        0        3        0        0        29      
09:45:00-09:50:00 22       1        0        7        0        0        30      
09:50:00-09:55:00 13       0        0        3        0        0        16      
09:55:00-10:00:00 26       4        0        8        0        0        38      
10:00:00-10:05:00 24       2        0        11       0        0        37      
10:05:00-10:10:00 14       4        0        5        0        0        23      
10:10:00-10:15:00 15       2        0        6        0        0        23      
10:15:00-10:20:00 17       1        0        1        0        0        19      
10:20:00-10:25:00 21       1        0        7        0        0        29      
10:25:00-10:30:00 21       2        0        5        0        0        28      
10:30:00-10:35:00 13       3        0        6        0        0        22      
10:35:00-10:40:00 14       3        0        3        0        0        20      
10:40:00-10:45:00 12       4        0        4        0        0        20      
10:45:00-10:50:00 11       5        1        0        0        0        17      
10:50:00-10:55:00 13       6        0        0        0        0        19      
10:55:00-11:00:00 10       6        0        1        0        0        17      
11:00:00-11:05:00 6        4        0        5        0        0        15      
11:05:00-11:10:00 9        5        0        3        0        0        17      
11:10:00-11:15:00 13       3        1        2        0        0        19      
11:15:00-11:20:00 14       5        0        1        0        0        20      
11:20:00-11:25:00 17       7        0        4        0        0        28      
11:25:00-11:30:00 10       3        0        0        0        0        13      
11:30:00-11:35:00 11       5        0        0        0        0        16      
11:35:00-11:40:00 11       3        0        3        0        0        17      
11:40:00-11:45:00 10       1        0        1        0        0        12      
11:45:00-11:50:00 8        1        0        1        0        0        10      
11:50:00-11:55:00 6        4        0        0        0        0        10      
11:55:00-12:00:00 5        0        0        0        0        0        5       

SWITCH STATISTICS (over 11:59:59 period)
------------------------------------------------------------
ID Switches Total:                      1526
ID Switches / Hour:                     127.17
Counted Vehs with ID Switch:            1376/3587 (38.36%)
Tracks with Class Switch:               1993/9043 (22.04%)
Counted Vehs with Class Switch:         1243/3587 (34.65%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     7258
On Counted Vehicles:                    5559
Avg per Affected Counted Veh:           4.47
Per Hour:                               604.83

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     4052
On Counted Vehicles:                    2903
Avg per Affected Counted Veh:           2.34
Per Hour:                               337.67

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 28       108      163      17.18      66.26     
00:05:00-00:10:00 40       205      214      18.69      95.79     
00:10:00-00:15:00 31       120      208      14.90      57.69     
00:15:00-00:20:00 77       183      250      30.80      73.20     
00:20:00-00:25:00 41       173      196      20.92      88.27     
00:25:00-00:30:00 24       48       149      16.11      32.21     
00:30:00-00:35:00 13       56       115      11.30      48.70     
00:35:00-00:40:00 17       132      150      11.33      88.00     
00:40:00-00:45:00 30       189      153      19.61      123.53    
00:45:00-00:50:00 17       53       123      13.82      43.09     
00:50:00-00:55:00 10       42       85       11.76      49.41     
00:55:00-01:00:00 26       166      131      19.85      126.72    
01:00:00-01:05:00 21       90       157      13.38      57.32     
01:05:00-01:10:00 24       59       170      14.12      34.71     
01:10:00-01:15:00 25       119      135      18.52      88.15     
01:15:00-01:20:00 19       67       100      19.00      67.00     
01:20:00-01:25:00 8        55       55       14.55      100.00    
01:25:00-01:30:00 19       148      123      15.45      120.33    
01:30:00-01:35:00 9        37       60       15.00      61.67     
01:35:00-01:40:00 5        5        45       11.11      11.11     
01:40:00-01:45:00 16       110      95       16.84      115.79    
01:45:00-01:50:00 33       161      172      19.19      93.60     
01:50:00-01:55:00 6        41       54       11.11      75.93     
01:55:00-02:00:00 20       83       99       20.20      83.84     
02:00:00-02:05:00 5        42       73       6.85       57.53     
02:05:00-02:10:00 19       106      129      14.73      82.17     
02:10:00-02:15:00 6        45       46       13.04      97.83     
02:15:00-02:20:00 12       44       52       23.08      84.62     
02:20:00-02:25:00 13       78       58       22.41      134.48    
02:25:00-02:30:00 3        4        25       12.00      16.00     
02:30:00-02:35:00 7        41       40       17.50      102.50    
02:35:00-02:40:00 6        7        38       15.79      18.42     
02:40:00-02:45:00 4        8        31       12.90      25.81     
02:45:00-02:50:00 5        8        21       23.81      38.10     
02:50:00-02:55:00 3        23       27       11.11      85.19     
02:55:00-03:00:00 4        22       51       7.84       43.14     
03:00:00-03:05:00 9        30       30       30.00      100.00    
03:05:00-03:10:00 7        48       29       24.14      165.52    
03:10:00-03:15:00 14       34       53       26.42      64.15     
03:15:00-03:20:00 4        17       44       9.09       38.64     
03:20:00-03:25:00 6        19       40       15.00      47.50     
03:25:00-03:30:00 5        17       32       15.62      53.12     
03:30:00-03:35:00 5        27       30       16.67      90.00     
03:35:00-03:40:00 7        27       47       14.89      57.45     
03:40:00-03:45:00 1        17       14       7.14       121.43    
03:45:00-03:50:00 2        7        16       12.50      43.75     
03:50:00-03:55:00 2        11       31       6.45       35.48     
03:55:00-04:00:00 3        15       24       12.50      62.50     
04:00:00-04:05:00 1        4        14       7.14       28.57     
04:05:00-04:10:00 2        10       23       8.70       43.48     
04:10:00-04:15:00 2        7        21       9.52       33.33     
04:15:00-04:20:00 6        34       34       17.65      100.00    
04:20:00-04:25:00 2        0        16       12.50      0.00      
04:25:00-04:30:00 2        22       23       8.70       95.65     
04:30:00-04:35:00 1        49       32       3.12       153.12    
04:35:00-04:40:00 2        17       42       4.76       40.48     
04:40:00-04:45:00 7        37       67       10.45      55.22     
04:45:00-04:50:00 29       139      101      28.71      137.62    
04:50:00-04:55:00 19       111      105      18.10      105.71    
04:55:00-05:00:00 11       58       53       20.75      109.43    
05:00:00-05:05:00 30       115      105      28.57      109.52    
05:05:00-05:10:00 25       93       73       34.25      127.40    
05:10:00-05:15:00 5        20       46       10.87      43.48     
05:15:00-05:20:00 3        42       67       4.48       62.69     
05:20:00-05:25:00 8        28       69       11.59      40.58     
05:25:00-05:30:00 9        35       71       12.68      49.30     
05:30:00-05:35:00 5        26       51       9.80       50.98     
05:35:00-05:40:00 16       35       107      14.95      32.71     
05:40:00-05:45:00 6        29       47       12.77      61.70     
05:45:00-05:50:00 3        19       30       10.00      63.33     
05:50:00-05:55:00 8        36       44       18.18      81.82     
05:55:00-06:00:00 8        43       35       22.86      122.86    
06:00:00-06:05:00 5        19       28       17.86      67.86     
06:05:00-06:10:00 6        29       48       12.50      60.42     
06:10:00-06:15:00 4        33       34       11.76      97.06     
06:15:00-06:20:00 6        17       31       19.35      54.84     
06:20:00-06:25:00 11       25       55       20.00      45.45     
06:25:00-06:30:00 12       81       79       15.19      102.53    
06:30:00-06:35:00 7        9        41       17.07      21.95     
06:35:00-06:40:00 2        16       25       8.00       64.00     
06:40:00-06:45:00 4        11       33       12.12      33.33     
06:45:00-06:50:00 1        0        5        20.00      0.00      
06:50:00-06:55:00 0        0        9        0.00       0.00      
06:55:00-07:00:00 9        12       36       25.00      33.33     
07:00:00-07:05:00 6        7        40       15.00      17.50     
07:05:00-07:10:00 8        2        43       18.60      4.65      
07:10:00-07:15:00 8        37       52       15.38      71.15     
07:15:00-07:20:00 4        31       44       9.09       70.45     
07:20:00-07:25:00 11       52       59       18.64      88.14     
07:25:00-07:30:00 21       46       91       23.08      50.55     
07:30:00-07:35:00 10       33       88       11.36      37.50     
07:35:00-07:40:00 20       78       92       21.74      84.78     
07:40:00-07:45:00 13       47       50       26.00      94.00     
07:45:00-07:50:00 14       51       57       24.56      89.47     
07:50:00-07:55:00 18       125      92       19.57      135.87    
07:55:00-08:00:00 19       136      141      13.48      96.45     
08:00:00-08:05:00 12       58       132      9.09       43.94     
08:05:00-08:10:00 16       39       130      12.31      30.00     
08:10:00-08:15:00 7        54       81       8.64       66.67     
08:15:00-08:20:00 17       73       95       17.89      76.84     
08:20:00-08:25:00 13       26       33       39.39      78.79     
08:25:00-08:30:00 9        39       72       12.50      54.17     
08:30:00-08:35:00 29       43       116      25.00      37.07     
08:35:00-08:40:00 10       37       61       16.39      60.66     
08:40:00-08:45:00 10       83       54       18.52      153.70    
08:45:00-08:50:00 10       33       61       16.39      54.10     
08:50:00-08:55:00 3        38       41       7.32       92.68     
08:55:00-09:00:00 12       79       82       14.63      96.34     
09:00:00-09:05:00 4        62       41       9.76       151.22    
09:05:00-09:10:00 8        43       46       17.39      93.48     
09:10:00-09:15:00 12       119      71       16.90      167.61    
09:15:00-09:20:00 9        57       87       10.34      65.52     
09:20:00-09:25:00 17       84       65       26.15      129.23    
09:25:00-09:30:00 3        22       29       10.34      75.86     
09:30:00-09:35:00 12       82       76       15.79      107.89    
09:35:00-09:40:00 5        47       45       11.11      104.44    
