DCNv2-Full - 6to6_g29.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 07:42:05
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g29.mp4
Frames: 648099 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9285
IDF1:               0.9392
ID Switches:        1367
Mostly Tracked (MT):(87.2%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                97.66
Runtime:            01:50:36
Class Switches:     5363

TOTAL VEHICLE COUNTS
------------------------------
  CAR             3969
  MOTORCYCLE      470
  TRICYCLE        121
  VAN             599
  BUS             1
  TRUCK           2
  TOTAL           5162

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
08:25:00-08:30:00 37       9        0        5        0        0        51      
08:30:00-08:35:00 39       0        0        5        0        0        44      
08:35:00-08:40:00 2        0        0        0        0        0        2       
08:40:00-08:45:00 40       3        0        6        0        0        49      
08:45:00-08:50:00 36       6        0        11       0        0        53      
08:50:00-08:55:00 0        0        0        1        0        0        1       
08:55:00-09:00:00 31       2        0        14       0        0        47      
09:00:00-09:05:00 31       5        0        3        0        0        39      
09:05:00-09:10:00 6        6        0        2        0        0        14      
09:10:00-09:15:00 28       2        0        4        0        0        34      
09:15:00-09:20:00 29       11       0        5        0        0        45      
09:20:00-09:25:00 22       5        1        2        0        0        30      
09:25:00-09:30:00 51       4        0        7        0        0        62      
09:30:00-09:35:00 37       4        0        3        0        0        44      
09:35:00-09:40:00 36       7        1        9        0        0        53      
09:40:00-09:45:00 49       4        0        5        0        0        58      
09:45:00-09:50:00 38       5        0        2        0        0        45      
09:50:00-09:55:00 65       8        0        11       1        0        85      
09:55:00-10:00:00 0        1        0        0        0        0        1       
10:00:00-10:05:00 31       6        0        5        0        0        42      
10:05:00-10:10:00 35       8        0        6        0        0        49      
10:10:00-10:15:00 0        1        0        0        0        0        1       
10:15:00-10:20:00 43       8        0        3        0        0        54      
10:20:00-10:25:00 33       10       0        8        0        0        51      
10:25:00-10:30:00 0        0        0        0        0        0        0       
10:30:00-10:35:00 38       1        0        4        0        0        43      
10:35:00-10:40:00 41       5        0        5        0        0        51      
10:40:00-10:45:00 36       7        0        12       0        0        55      
10:45:00-10:50:00 57       10       2        11       0        0        80      
10:50:00-10:55:00 46       2        1        10       0        0        59      
10:55:00-11:00:00 46       5        1        3        0        0        55      
11:00:00-11:05:00 46       5        0        8        0        0        59      
11:05:00-11:10:00 38       10       0        5        0        0        53      
11:10:00-11:15:00 34       7        0        2        0        0        43      
11:15:00-11:20:00 37       8        0        2        0        0        47      
11:20:00-11:25:00 35       10       0        4        0        0        49      
11:25:00-11:30:00 39       4        0        4        0        0        47      
11:30:00-11:35:00 43       8        0        11       0        0        62      
11:35:00-11:40:00 39       6        1        4        0        0        50      
11:40:00-11:45:00 16       6        0        2        0        0        24      
11:45:00-11:50:00 21       3        0        2        0        0        26      
11:50:00-11:55:00 18       5        0        1        0        0        24      
11:55:00-12:00:00 13       5        0        2        0        0        20      

SWITCH STATISTICS (over 12:00:06 period)
------------------------------------------------------------
ID Switches Total:                      1367
ID Switches / Hour:                     113.90
Counted Vehs with ID Switch:            778/5162 (15.07%)
Tracks with Class Switch:               1053/8808 (11.96%)
Counted Vehs with Class Switch:         895/5162 (17.34%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     5363
On Counted Vehicles:                    4898
Avg per Affected Counted Veh:           5.47
Per Hour:                               446.85

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     3155
On Counted Vehicles:                    2810
Avg per Affected Counted Veh:           3.14
Per Hour:                               262.88

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 0        14       24       0.00       58.33     
00:05:00-00:10:00 4        5        43       9.30       11.63     
00:10:00-00:15:00 4        30       41       9.76       73.17     
00:15:00-00:20:00 12       78       93       12.90      83.87     
00:20:00-00:25:00 6        43       70       8.57       61.43     
00:25:00-00:30:00 21       74       121      17.36      61.16     
00:30:00-00:35:00 3        3        54       5.56       5.56      
00:35:00-00:40:00 15       58       105      14.29      55.24     
00:40:00-00:45:00 13       37       94       13.83      39.36     
00:45:00-00:50:00 5        39       61       8.20       63.93     
00:50:00-00:55:00 13       65       108      12.04      60.19     
00:55:00-01:00:00 3        0        33       9.09       0.00      
01:00:00-01:05:00 26       88       124      20.97      70.97     
01:05:00-01:10:00 21       50       121      17.36      41.32     
01:10:00-01:15:00 2        0        45       4.44       0.00      
01:15:00-01:20:00 21       78       146      14.38      53.42     
01:20:00-01:25:00 0        1        22       0.00       4.55      
01:25:00-01:30:00 21       80       131      16.03      61.07     
01:30:00-01:35:00 20       39       94       21.28      41.49     
01:35:00-01:40:00 26       56       148      17.57      37.84     
01:40:00-01:45:00 0        0        44       0.00       0.00      
01:45:00-01:50:00 21       57       127      16.54      44.88     
01:50:00-01:55:00 13       67       100      13.00      67.00     
01:55:00-02:00:00 20       28       115      17.39      24.35     
02:00:00-02:05:00 5        43       56       8.93       76.79     
02:05:00-02:10:00 17       71       105      16.19      67.62     
02:10:00-02:15:00 0        8        46       0.00       17.39     
02:15:00-02:20:00 6        35       61       9.84       57.38     
02:20:00-02:25:00 8        43       64       12.50      67.19     
02:25:00-02:30:00 5        29       48       10.42      60.42     
02:30:00-02:35:00 9        30       42       21.43      71.43     
02:35:00-02:40:00 1        18       36       2.78       50.00     
02:40:00-02:45:00 0        10       29       0.00       34.48     
02:45:00-02:50:00 6        28       35       17.14      80.00     
02:50:00-02:55:00 1        8        29       3.45       27.59     
02:55:00-03:00:00 0        0        25       0.00       0.00      
03:00:00-03:05:00 4        42       35       11.43      120.00    
03:05:00-03:10:00 6        28       47       12.77      59.57     
03:10:00-03:15:00 0        19       25       0.00       76.00     
03:15:00-03:20:00 0        9        26       0.00       34.62     
03:20:00-03:25:00 2        42       39       5.13       107.69    
03:25:00-03:30:00 2        22       36       5.56       61.11     
03:30:00-03:35:00 1        22       46       2.17       47.83     
03:35:00-03:40:00 1        11       54       1.85       20.37     
03:40:00-03:45:00 2        15       31       6.45       48.39     
03:45:00-03:50:00 0        7        14       0.00       50.00     
03:50:00-03:55:00 0        7        13       0.00       53.85     
03:55:00-04:00:00 0        4        9        0.00       44.44     
04:00:00-04:05:00 0        2        11       0.00       18.18     
04:05:00-04:10:00 0        2        16       0.00       12.50     
04:10:00-04:15:00 0        30       20       0.00       150.00    
04:15:00-04:20:00 0        0        14       0.00       0.00      
04:20:00-04:25:00 5        29       25       20.00      116.00    
04:25:00-04:30:00 0        3        18       0.00       16.67     
04:30:00-04:35:00 0        3        18       0.00       16.67     
04:35:00-04:40:00 0        33       23       0.00       143.48    
04:40:00-04:45:00 1        20       26       3.85       76.92     
04:45:00-04:50:00 1        4        20       5.00       20.00     
04:50:00-04:55:00 5        19       57       8.77       33.33     
04:55:00-05:00:00 4        60       85       4.71       70.59     
05:00:00-05:05:00 31       106      119      26.05      89.08     
05:05:00-05:10:00 1        35       59       1.69       59.32     
05:10:00-05:15:00 20       71       155      12.90      45.81     
05:15:00-05:20:00 12       54       86       13.95      62.79     
05:20:00-05:25:00 14       52       84       16.67      61.90     
05:25:00-05:30:00 18       81       103      17.48      78.64     
05:30:00-05:35:00 48       130      165      29.09      78.79     
05:35:00-05:40:00 16       41       102      15.69      40.20     
05:40:00-05:45:00 16       38       113      14.16      33.63     
05:45:00-05:50:00 9        71       72       12.50      98.61     
05:50:00-05:55:00 0        0        41       0.00       0.00      
05:55:00-06:00:00 21       42       97       21.65      43.30     
06:00:00-06:05:00 5        34       65       7.69       52.31     
06:05:00-06:10:00 1        11       19       5.26       57.89     
06:10:00-06:15:00 4        31       40       10.00      77.50     
06:15:00-06:20:00 1        14       30       3.33       46.67     
06:20:00-06:25:00 4        13       35       11.43      37.14     
06:25:00-06:30:00 3        19       41       7.32       46.34     
06:30:00-06:35:00 3        8        51       5.88       15.69     
06:35:00-06:40:00 7        41       81       8.64       50.62     
06:40:00-06:45:00 8        62       61       13.11      101.64    
06:45:00-06:50:00 1        20       27       3.70       74.07     
06:50:00-06:55:00 0        17       37       0.00       45.95     
06:55:00-07:00:00 0        2        12       0.00       16.67     
07:00:00-07:05:00 0        5        21       0.00       23.81     
07:05:00-07:10:00 0        9        12       0.00       75.00     
07:10:00-07:15:00 0        9        16       0.00       56.25     
07:15:00-07:20:00 1        45       56       1.79       80.36     
07:20:00-07:25:00 31       97       123      25.20      78.86     
07:25:00-07:30:00 11       95       83       13.25      114.46    
07:30:00-07:35:00 9        70       76       11.84      92.11     
07:35:00-07:40:00 0        8        29       0.00       27.59     
07:40:00-07:45:00 0        26       25       0.00       104.00    
07:45:00-07:50:00 0        8        31       0.00       25.81     
07:50:00-07:55:00 3        6        42       7.14       14.29     
07:55:00-08:00:00 11       82       92       11.96      89.13     
08:00:00-08:05:00 10       115      121      8.26       95.04     
08:05:00-08:10:00 15       70       118      12.71      59.32     
08:10:00-08:15:00 18       10       105      17.14      9.52      
08:15:00-08:20:00 19       103      116      16.38      88.79     
08:20:00-08:25:00 4        20       53       7.55       37.74     
08:25:00-08:30:00 21       47       133      15.79      35.34     
08:30:00-08:35:00 17       28       105      16.19      26.67     
08:35:00-08:40:00 1        0        34       2.94       0.00      
08:40:00-08:45:00 20       42       117      17.09      35.90     
08:45:00-08:50:00 22       98       116      18.97      84.48     
08:50:00-08:55:00 7        51       41       17.07      124.39    
08:55:00-09:00:00 15       87       96       15.62      90.62     
09:00:00-09:05:00 19       47       90       21.11      52.22     
09:05:00-09:10:00 42       42       110      38.18      38.18     
09:10:00-09:15:00 20       37       83       24.10      44.58     
09:15:00-09:20:00 21       50       108      19.44      46.30     
09:20:00-09:25:00 8        29       67       11.94      43.28     
09:25:00-09:30:00 26       80       120      21.67      66.67     
09:30:00-09:35:00 13       25       93       13.98      26.88     
09:35:00-09:40:00 17       41       95       17.89      43.16     
09:40:00-09:45:00 16       49       102      15.69      48.04     
09:45:00-09:50:00 12       4        86       13.95      4.65      
09:50:00-09:55:00 33       93       183      18.03      50.82     
09:55:00-10:00:00 9        0        33       27.27      0.00      
10:00:00-10:05:00 12       48       82       14.63      58.54     
10:05:00-10:10:00 11       69       96       11.46      71.88     
10:10:00-10:15:00 1        0        36       2.78       0.00      
10:15:00-10:20:00 16       32       93       17.20      34.41     
10:20:00-10:25:00 13       36       86       15.12      41.86     
10:25:00-10:30:00 0        12       10       0.00       120.00    
10:30:00-10:35:00 8        39       102      7.84       38.24     
10:35:00-10:40:00 11       34       102      10.78      33.33     
10:40:00-10:45:00 25       104      133      18.80      78.20     
10:45:00-10:50:00 20       96       117      17.09      82.05     
10:50:00-10:55:00 39       137      140      27.86      97.86     
10:55:00-11:00:00 13       25       100      13.00      25.00     
11:00:00-11:05:00 4        39       83       4.82       46.99     
11:05:00-11:10:00 5        49       77       6.49       63.64     
11:10:00-11:15:00 9        18       89       10.11      20.22     
11:15:00-11:20:00 11       17       90       12.22      18.89     
11:20:00-11:25:00 13       31       114      11.40      27.19     
11:25:00-11:30:00 19       38       122      15.57      31.15     
11:30:00-11:35:00 23       38       123      18.70      30.89     
11:35:00-11:40:00 7        36       66       10.61      54.55     
11:40:00-11:45:00 1        10       34       2.94       29.41     
11:45:00-11:50:00 3        27       33       9.09       81.82     
11:50:00-11:55:00 0        13       30       0.00       43.33     
11:55:00-12:00:00 7        48       43       16.28      111.63    

CLASSIFICATION SWITCHES: 5363 total
Frame    ID     From         To          
191      1      car          van         
193      1      van          car         
197      1      car          van         
2612     11     car          van         
2614     11     van          car         
2622     11     car          van         
2633     11     van          car         
2635     11     car          van         
2636     11     van          car         
2640     11     car          van         
2647     11     van          car         
2662     11     car          van         
3615     16     car          van         
4354     27     car          van         
8051     56     car          tricycle    
8053     56     tricycle     motorcycle  
8071     73     motorcycle   tricycle    
8073     79     motorcycle   tricycle    
8074     79     tricycle     car         
10632    95     car          van         
10651    95     van          car         
10652    95     car          van         
10654    95     van          car         
10655    95     car          van         
10780    95     van          car         
10994    104    car          van         
11010    104    van          car         
11022    104    car          van         
11023    104    van          car         
11034    104    car          van         
11058    104    van          car         
11081    104    car          van         
11088    104    van          car         
11089    104    car          van         
11098    104    van          car         
11103    104    car          van         
11111    104    van          car         
11124    104    car          van         
11143    104    van          car         
11157    104    car          van         
11158    104    van          car         
11177    104    car          van         
11210    104    van          car         
11237    104    car          van         
11238    104    van          car         
11239    104    car          van         
11261    104    van          car         
11268    104    car          van         
11269    104    van          car         
16277    104    car          van         
16289    104    van          car         
16312    104    car          van         
16317    104    van          car         
16318    104    car          van         
16319    104    van          car         
16332    104    car          van         
16337    104    van          car         
16343    104    car          van         
16346    104    van          car         
16353    104    car          van         
16357    104    van          car         
16359    104    car          van         
16360    104    van          car         
16363    104    car          van         
16380    104    van          car         
16381    104    car          van         
16382    104    van          car         
16387    104    car          van         
16388    104    van          car         
16389    104    car          van         
16400    104    van          car         
16406    104    car          van         
16412    104    van          car         
16413    104    car          van         
16427    143    van          car         
16441    104    van          car         
16441    143    car          van         
16480    143    van          car         
16482    143    car          van         
16485    143    van          car         
16487    143    car          van         
16495    143    van          car         
16496    143    car          van         
16498    151    car          tricycle    
16513    151    tricycle     motorcycle  
16615    148    car          tricycle    
16617    148    tricycle     car         
16692    168    car          van         
16702    165    car          van         
16711    168    van          car         
16712    168    car          van         
17030    165    van          car         
17034    165    car          van         
17321    193    car          tricycle    
17619    225    car          van         
17621    225    van          car         
17626    225    car          van         
17627    225    van          car         
17633    225    car          van         
17637    225    van          car         
17638    225    car          van         
17641    225    van          car         
17652    225    car          van         
17653    225    van          car         
17760    230    car          van         
17765    230    van          car         
17767    225    car          van         
17771    230    car          van         
17776    230    van          car         
17777    230    car          van         
17782    230    van          car         
17786    230    car          van         
17787    225    van          truck       
17788    230    van          car         
17792    230    car          van         
17796    230    van          car         
17800    230    car          van         
17803    230    van          car         
17807    230    car          van         
17813    230    van          car         
17820    230    car          van         
17821    230    van          car         
17838    230    car          van         
17849    230    van          car         
17850    230    car          van         
17876    230    van          car         
17887    230    car          van         
18064    257    motorcycle   tricycle    
18106    262    car          van         
18116    262    van          car         
18245    262    car          van         
18248    262    van          car         
18251    262    car          van         
18271    262    van          car         
18280    262    car          van         
18281    262    van          car         
18282    262    car          van         
18763    283    car          van         
18871    284    car          van         
18876    284    van          car         
18879    284    car          van         
18880    284    van          car         
18886    284    car          van         
18891    284    van          car         
18902    284    car          van         
18909    284    van          car         
18959    284    car          van         
19598    301    van          car         
19605    301    car          van         
19740    301    van          car         
19786    301    car          van         
20006    301    van          car         
20007    301    car          van         
20015    284    van          car         
20125    284    car          van         
20206    301    van          car         
20226    284    van          car         
20233    301    car          van         
20246    284    car          van         
20251    284    van          car         
20257    284    car          van         
20278    284    van          car         
20281    284    car          van         
20297    284    van          car         
20333    284    car          van         
20366    284    van          car         
20386    284    car          van         
20633    320    car          van         
22398    284    van          car         
22407    284    car          van         
22513    284    van          car         
22520    284    car          van         
22582    284    van          car         
22589    284    car          van         
22819    284    van          car         
22829    284    car          van         
23376    284    van          car         
23454    284    car          van         
23455    284    van          car         
