DCNv2-FPN - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 02:58:44
Model: /home/migui/Downloads/dcnv2-yolov8-neck-fpn-20260318T004118Z-1-001/dcnv2-yolov8-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9269
IDF1:               0.9185
ID Switches:        1312
Mostly Tracked (MT):(92.6%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                107.18
Runtime:            01:27:25
Class Switches:     10976

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4736
  MOTORCYCLE      328
  TRICYCLE        194
  VAN             510
  BUS             0
  TRUCK           9
  TOTAL           5777

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:00:00-00:05:00 60       5        0        8        0        0        73      
00:05:00-00:10:00 71       4        0        9        0        0        84      
00:10:00-00:15:00 81       6        0        15       0        0        102     
00:15:00-00:20:00 76       6        0        11       0        0        93      
00:20:00-00:25:00 79       6        0        8        0        0        93      
00:25:00-00:30:00 60       1        0        5        0        0        66      
00:30:00-00:35:00 62       2        0        6        0        0        70      
00:35:00-00:40:00 55       3        0        10       0        0        68      
00:40:00-00:45:00 48       0        0        10       0        0        58      
00:45:00-00:50:00 54       1        0        1        0        0        56      
00:50:00-00:55:00 53       2        0        9        0        0        64      
00:55:00-01:00:00 62       5        0        8        0        0        75      
01:00:00-01:05:00 49       2        0        6        0        0        57      
01:05:00-01:10:00 64       2        0        1        0        0        67      
01:10:00-01:15:00 61       2        0        4        0        0        67      
01:15:00-01:20:00 66       1        0        4        0        0        71      
01:20:00-01:25:00 57       6        0        5        0        0        68      
01:25:00-01:30:00 56       1        0        1        0        0        58      
01:30:00-01:35:00 48       3        0        3        0        1        55      
01:35:00-01:40:00 56       1        0        5        0        0        62      
01:40:00-01:45:00 55       1        0        6        0        1        63      
01:45:00-01:50:00 59       5        0        3        0        0        67      
01:50:00-01:55:00 58       0        0        4        0        0        62      
01:55:00-02:00:00 60       12       0        3        0        0        75      
02:00:00-02:05:00 55       4        1        4        0        1        65      
02:05:00-02:10:00 66       6        0        4        0        0        76      
02:10:00-02:15:00 62       6        0        5        0        0        73      
